Gemeente;open vld;N-VA;VLAAMS BELANG;CD&V;PVDA;GROEN;SP.A;DierAnimal;de coöperatie;RP;Be.One;UF;PRO;PV&S;D-SA;Piratenpartij;Genoeg vr iedereen;Burgerlijst;sp.a-one.brussels
Ingelmunster;629;1420;1859;1739;270;321;1182;48;0;0;0;0;0;0;0;35;0;0;0
Izegem;1282;4918;4551;3830;705;1217;2249;151;0;0;0;0;0;0;0;75;0;0;0
Jabbeke;1079;2153;1762;2866;231;718;994;82;0;0;0;0;0;0;0;45;0;0;0
Jette;696;995;593;460;218;1045;0;0;0;0;0;0;0;0;0;0;0;0;612
Kalmthout;1130;4177;1709;1726;626;1300;837;109;0;0;7;0;0;0;4;57;24;22;0
Kampenhout;2094;2302;1223;864;287;802;412;78;0;0;0;48;26;0;0;0;0;0;0
Kapelle-op-den-Bos;667;2277;1136;857;226;583;644;51;0;0;0;24;20;0;0;0;0;0;0
Kapellen;2785;6717;2937;1148;829;1504;982;177;0;0;2;0;0;1;7;74;32;26;0
Kaprijke;635;1007;848;991;199;311;342;40;4;3;5;0;0;0;0;0;0;0;0
Kasterlee;1135;4006;2543;3090;501;990;640;78;0;0;5;0;0;4;4;47;24;21;0
Keerbergen;2024;2849;1202;888;275;667;602;86;0;0;0;9;11;0;0;0;0;0;0
Kinrooi;512;1316;1376;2903;200;281;476;0;0;0;0;0;7;0;9;0;0;0;0
Kluisbergen;756;850;883;886;232;302;442;38;6;12;8;0;0;0;0;0;0;0;0
Knokke-Heist;4271;8142;3217;3253;428;1013;1361;274;0;0;0;0;0;0;0;101;0;0;0
Koekelare;792;759;1425;1278;145;219;1389;50;0;0;0;0;0;0;0;23;0;0;0
Koekelberg;220;287;139;112;96;359;0;0;0;0;0;0;0;0;0;0;0;0;221
Koksijde;2966;5450;1651;2467;338;969;1438;238;0;0;0;0;0;0;0;62;0;0;0
Kontich;2019;5452;2106;1564;618;1605;756;109;0;0;4;0;0;13;5;72;25;25;0
Kortemark;1429;1125;2042;2491;229;361;858;55;0;0;0;0;0;0;0;31;0;0;0
Kortenaken;1000;1344;1098;880;173;302;583;62;0;0;0;0;20;0;0;0;0;0;0
Kortenberg;2076;3561;1625;1809;559;1422;792;184;0;0;0;175;168;0;0;0;0;0;0
Kortessem;857;1163;1147;1315;239;375;753;0;0;9;0;0;11;0;3;0;0;0;0
Kortrijk;7350;9935;8506;9076;2231;4959;6066;505;0;0;0;0;0;0;0;304;0;0;0
Kraainem;824;496;111;365;120;1010;174;114;0;0;0;2780;12;0;0;0;0;0;0
Kruibeke;860;3301;2667;1378;631;858;1215;98;4;8;9;0;0;0;0;0;0;0;0
Kruisem;2079;2160;1919;2780;372;893;717;107;3;7;12;0;0;0;0;0;0;0;0
Kuurne;836;1833;2016;2329;313;665;922;72;0;0;0;0;0;0;0;32;0;0;0
Laakdal;871;2842;3176;1575;555;646;899;103;0;0;3;0;0;6;13;51;39;29;0
Laarne;1766;2248;1717;1093;315;716;710;77;11;4;17;0;0;0;0;0;0;0;0
Lanaken;2870;2430;3016;1906;469;626;1375;0;0;10;0;0;46;0;11;0;0;0;0
Landen;1434;2234;1746;1499;518;885;1847;158;0;0;0;37;35;0;0;0;0;0;0
Langemark-Poelkapelle;608;1005;1303;1492;113;198;506;26;0;0;0;0;0;0;0;22;0;0;0
Lebbeke;2305;3232;3073;1622;559;906;1039;126;21;10;12;0;0;0;0;0;0;0;0
Lede;2238;2948;3279;1666;300;947;971;108;361;15;29;0;0;0;0;0;0;0;0
Ledegem;387;985;1298;2794;164;286;695;26;0;0;0;0;0;0;0;14;0;0;0
Lendelede;303;893;962;1164;105;243;391;17;0;0;0;0;0;0;0;15;0;0;0
Lennik;1197;1968;982;933;144;560;292;49;0;0;0;62;24;0;0;0;0;0;0
Leopoldsburg;583;2227;2540;1996;655;528;1452;0;0;10;0;0;22;0;71;0;0;0;0
Leuven;6976;13015;4073;7696;3868;13970;8038;464;0;0;0;68;140;0;0;0;0;0;0
Lichtervelde;635;937;1223;2143;164;387;665;42;0;0;0;0;0;0;0;18;0;0;0
Liedekerke;893;2387;1829;1050;245;461;1483;75;0;0;0;42;25;0;0;0;0;0;0
Lier;3017;7815;4458;2286;1443;2902;1689;232;0;0;23;0;0;15;18;65;64;23;0
Lierde;833;885;1110;829;158;234;522;46;2;4;1;0;0;0;0;0;0;0;0
Lievegem;2665;4196;3260;3591;952;1624;1724;172;23;12;14;0;0;0;0;0;0;0;0
Lille;824;3744;2553;1848;482;1059;604;69;0;0;2;0;0;2;5;37;23;13;0
Linkebeek;184;190;46;93;69;704;64;69;0;0;0;1225;6;0;0;0;0;0;0
Lint;776;2332;916;637;227;717;312;33;0;0;4;0;0;4;2;37;12;7;0
Linter;615;1211;1027;1123;208;257;570;52;0;0;0;1;5;0;0;0;0;0;0
Lo-Reninge;345;401;381;717;59;118;181;15;0;0;0;0;0;0;0;3;0;0;0
Lochristi;3722;3790;2867;2402;557;1152;918;178;20;9;24;0;0;0;0;0;0;0;0
Lokeren;5273;4994;5185;3431;1416;3451;2420;219;23;22;85;0;0;0;0;0;0;0;0
Lommel;1177;4464;4236;4684;1413;1109;2719;0;0;12;0;0;60;0;48;0;0;0;0
Londerzeel;1513;4881;2244;1545;354;1098;834;112;0;0;0;45;88;0;0;0;0;0;0
Lubbeek;1396;3562;990;1511;355;1392;697;75;0;0;0;3;22;0;0;0;0;0;0
Lummen;995;2419;1895;2252;470;877;1231;0;0;29;0;0;22;0;9;0;0;0;0
Maarkedal;828;1490;615;787;115;332;313;25;4;2;1;0;0;0;0;0;0;0;0
Maaseik;2571;3163;3637;2515;551;827;1510;0;0;7;0;0;23;0;26;0;0;0;0
Maasmechelen;2882;3364;4074;4192;1994;1154;3452;0;0;25;0;0;44;0;86;0;0;0;0
Machelen;897;1784;852;1033;787;870;1414;122;0;0;0;287;32;0;0;0;0;0;0
Maldegem;3761;3116;3072;3180;553;1052;1249;162;9;21;23;0;0;0;0;0;0;0;0
Malle;840;3927;2065;1413;403;779;553;75;0;0;4;0;0;2;5;42;25;10;0
Mechelen;10335;12087;7338;4570;4326;8024;4680;454;0;0;346;0;0;81;46;258;108;75;0
Meerhout;610;1787;1807;1064;321;378;846;65;0;0;4;0;0;4;3;28;16;9;0
Meise;2289;4001;1453;1271;475;1464;763;187;0;0;0;437;230;0;0;0;0;0;0
Melle;1331;1801;1244;1034;431;1189;780;81;7;12;18;0;0;0;0;0;0;0;0
Menen;1812;2734;4408;4740;1047;1389;3554;245;0;0;0;0;0;0;0;97;0;0;0
Merchtem;2254;3075;1637;1427;304;985;536;124;0;0;0;91;710;0;0;0;0;0;0
