Gemeente;open vld;N-VA;VLAAMS BELANG;CD&V;PVDA;GROEN;SP.A;DierAnimal;de coöperatie;RP;Be.One;UF;PRO;PV&S;D-SA;Piratenpartij;Genoeg vr iedereen;Burgerlijst;sp.a-one.brussels
Sint-Niklaas;4420;12786;10365;5479;3082;5515;4973;503;49;40;97;0;0;0;0;0;0;0;0
Sint-Pieters-Leeuw;1916;4531;2309;2210;1160;2026;1705;372;0;0;0;2000;119;0;0;0;0;0;0
Sint-Pieters-Woluwe;611;431;107;266;48;545;0;0;0;0;0;0;0;0;0;0;0;0;121
Sint-Truiden;3341;5984;5585;4012;1035;1510;5404;0;0;28;0;0;91;0;56;0;0;0;0
Spiere-Helkijn;221;169;159;227;58;124;198;39;0;0;0;0;0;0;0;15;0;0;0
Stabroek;862;4393;3456;1113;619;725;871;128;0;0;5;0;0;2;10;73;40;16;0
Staden;2336;895;1645;1738;156;295;616;32;0;0;0;0;0;0;0;19;0;0;0
Steenokkerzeel;1105;2851;1191;716;304;743;617;86;0;0;0;133;22;0;0;0;0;0;0
Stekene;937;3444;3457;1613;603;934;1010;146;5;9;23;0;0;0;0;0;0;0;0
Temse;2154;5329;4565;2641;1115;1641;1551;185;14;16;31;0;0;0;0;0;0;0;0
Ternat;1708;3116;1787;1554;363;975;743;135;0;0;0;88;32;0;0;0;0;0;0
Tervuren;2207;2966;718;1361;420;1993;661;192;0;0;0;904;28;0;0;0;0;0;0
Tessenderlo;1220;3221;3004;1734;673;859;1639;0;0;16;0;0;38;0;45;0;0;0;0
Tielt-Winge;1457;1876;1360;1065;341;628;694;75;0;0;0;10;23;0;0;0;0;0;0
Tielt;1563;2436;2475;4102;495;948;1490;78;0;0;0;0;0;0;0;56;0;0;0
Tienen;2689;5189;3786;3386;1212;1959;3289;252;0;0;0;48;60;0;0;0;0;0;0
Tongeren;3059;3466;4287;3294;900;1338;3940;0;0;30;0;0;48;0;59;0;0;0;0
Torhout;1082;2160;2605;4712;325;1037;1939;120;0;0;0;0;0;0;0;67;0;0;0
Tremelo;1691;2772;2129;1373;433;748;886;99;0;0;0;5;17;0;0;0;0;0;0
Turnhout;1893;6403;5897;2916;1885;2905;3340;171;0;0;20;0;0;76;16;103;47;31;0
Ukkel;698;744;196;237;111;883;0;0;0;0;0;0;0;0;0;0;0;0;263
Veurne;854;2137;1567;1575;256;461;1235;114;0;0;0;0;0;0;0;51;0;0;0
Vilvoorde;3430;4265;2672;1741;2260;2736;4230;430;0;0;0;1101;140;0;0;0;0;0;0
Vleteren;385;415;614;642;53;124;193;10;0;0;0;0;0;0;0;13;0;0;0
Voeren;153;423;194;365;50;155;79;0;0;0;0;0;2;0;0;0;0;0;0
Vorselaar;419;1540;1331;833;326;450;454;39;0;0;1;0;0;1;3;38;17;18;0
Vorst;333;354;157;165;207;1048;0;0;0;0;0;0;0;0;0;0;0;0;369
Vosselaar;678;2480;1678;1203;315;622;527;46;0;0;2;0;0;3;3;22;9;9;0
Waasmunster;1243;2309;1429;1111;244;598;426;68;6;6;10;0;0;0;0;0;0;0;0
Wachtebeke;738;935;1174;654;344;314;793;68;9;8;14;0;0;0;0;0;0;0;0
Waregem;2443;5301;5237;8259;720;1798;1998;176;0;0;0;0;0;0;0;103;0;0;0
Watermaal-Bosvoorde;218;210;84;87;60;564;0;0;0;0;0;0;0;0;0;0;0;0;139
Wellen;857;962;1139;471;187;238;1452;0;0;12;0;0;7;0;2;0;0;0;0
